tt0054357,Adventure,Family,SwissFamilyRobinson,1960-12-21,7.2,12561,"['HarryWaxman', 'cinematographer']","['JohnMills', 'actor']","['DorothyMcGuire', 'actress']","['JamesMacArthur', 'actor']","['JanetMunro', 'actress']","['KenAnnakin', 'director']","['LowellS.Hawley', 'writer']","['JohannDavidWyss', 'writer']","['BillAnderson', 'producer']","['WilliamAlwyn', 'composer']"
tt0054367,Comedy,TallStory,1960-04-06,6.0,753,"['CyrilJ.Mockridge', 'composer']","['AnthonyPerkins', 'actor']","['JaneFonda', 'actress']","['RayWalston', 'actor']","['MarcConnelly', 'actor']","['JoshuaLogan', 'director']","['JuliusJ.Epstein', 'writer']","['HowardLindsay', 'writer']","['RusselCrouse', 'writer']","['HowardNemerov', 'writer']"
tt0054371,Mystery,Crime,Thriller,Die1000AugendesDr.Mabuse,1960-09-13,7.0,2621,"['GerhardBecker', 'composer']","['DawnAddams', 'actress']","['PetervanEyck', 'actor']","['GertFröbe', 'actor']","['WolfgangPreiss', 'actor']","['FritzLang', 'director']","['HeinzOskarWuttig', 'writer']","['JanFethke', 'writer']","['NorbertJacques', 'writer']","['ArturBrauner', 'producer']"
tt0054377,Fantasy,Drama,LeTestamentdOrphée,1960-02-18,7.3,2472,"['YulBrynner', 'actor']","['JeanCocteau', 'self']","['FrançoiseArnoul', 'actress']","['ClaudineAuger', 'actress']","['CharlesAznavour', 'actor']","['RolandPontoizeau', 'cinematographer']","['Marie-JosèpheYoyotte', 'editor']","['PierreGuffroy', 'production_designer']","['BrigitteBardot', 'actress']","['LuciaBosé', 'actress']"
tt0054387,Thriller,Adventure,Fantasy,ScienceFiction,"Romance""",TheTimeMachine,1960-08-17,7.6,33742,"['GeorgeTomasini', 'editor']","['RodTaylor', 'actor']","['AlanYoung', 'actor']","['YvetteMimieux', 'actress']","['SebastianCabot', 'actor']","['GeorgePal', 'director']","['DavidDuncan', 'writer']","['H.G.Wells', 'writer']","['RussellGarcia', 'composer']","['PaulVogel', 'cinematographer']"
tt0054389,Drama,Thriller,Crime,Tirezsurlepianiste,1960-10-21,7.5,15810,"['RaoulCoutard', 'cinematographer']","['CharlesAznavour', 'actor']","['MarieDubois', 'actress']","['NicoleBerger', 'actress']","['MichèleMercier', 'actress']","['FrançoisTruffaut', 'director']","['DavidGoodis', 'writer']","['MarcelMoussy', 'writer']","['PierreBraunberger', 'producer']","['GeorgesDelerue', 'composer']"
tt0054407,Crime,Drama,Thriller,LeTrou,1960-03-18,8.5,13288,"['GhislainCloquet', 'cinematographer']","['AndréBervil', 'actor']","['JeanKeraudy', 'actor']","['MichelConstantin', 'actor']","['PhilippeLeroy', 'actor']","['JacquesBecker', 'director']","['JoséGiovanni', 'writer']","['JeanAurel', 'writer']","['SergeSilberman', 'producer']","['PhilippeArthuys', 'composer']"
tt0054412,Drama,TunesofGlory,1960-08-16,7.5,3178,"['AnneV.Coates', 'editor']","['AlecGuinness', 'actor']","['JohnMills', 'actor']","['SusannahYork', 'actress']","['DennisPrice', 'actor']","['RonaldNeame', 'director']","['JamesKennaway', 'writer']","['ColinLesslie', 'producer']","['MalcolmArnold', 'composer']","['ArthurIbbetson', 'cinematographer']"
tt0054442,Comedy,Ilvigile,1960-01-01,7.3,1060,"['LeonidaBarboni', 'cinematographer']","['AlbertoSordi', 'actor']","['VittorioDeSica', 'actor']","['MarisaMerlini', 'actress']","['MaraBerni', 'actress']","['LuigiZampa', 'director']","['RodolfoSonego', 'writer']","['UgoGuerra', 'writer']","['GuidoGiambartolomei', 'producer']","['PieroUmiliani', 'composer']"
tt0054443,Horror,ScienceFiction,VillageoftheDamned,1960-11-05,7.3,13784,"['GeoffreyFaithfull', 'cinematographer']","['GeorgeSanders', 'actor']","['BarbaraShelley', 'actress']","['MichaelGwynn', 'actor']","['LaurenceNaismith', 'actor']","['WolfRilla', 'director']","['StirlingSilliphant', 'writer']","['RonaldKinnoch', 'writer']","['JohnWyndham', 'writer']","['RonGoodwin', 'composer']"
tt0054452,Drama,Lavérité,1960-11-02,7.6,2490,"['VéraClouzot', 'writer']","['BrigitteBardot', 'actress']","['PaulMeurisse', 'actor']","['CharlesVanel', 'actor']","['SamiFrey', 'actor']","['Henri-GeorgesClouzot', 'director']","['SimoneDrieu', 'writer']","['MichèlePerrein', 'writer']","['JérômeGéronimi', 'writer']","['ChristianeRochefort', 'writer']"
