tt0000014,['Comedy'],Arroseur et arrosé,1895-12-27,7.0,44,"['nconst', 'category']"
tt0013571,"['Drama', 'Fantasy', 'Horror']",Salomé,1923-02-15,7.0,2,"['nm0002355', 'cinematographer']","['nm0623417', 'actress']","['nm0207637', 'actor']","['nm0507568', 'actor']","['nm0227946', 'actress']","['nm0117065', 'director']","['nm0928492', 'writer']","['nm0708118', 'writer']","['nm0308927', 'composer']","['nm0641856', 'composer']"
tt0013579,"['Thriller', 'Fantasy', 'Drama', 'Horror']",Schatten – Eine nächtliche Halluzination,1923-10-16,7.1,7,"['nm0005922', 'cinematographer']","['nm0334603', 'actor']","['nm0347520', 'actor']","['nm0378815', 'actress']","['nm0459030', 'actor']","['nm0733208', 'director']","['nm0774012', 'writer']","['nm0225868', 'producer']","['nm2659349', 'producer']","['nm0726176', 'composer']"
tt0013690,"['Comedy', 'Documentary', 'Animation']",Tommy Tucker's Tooth,1922-12-06,7.0,2,"['nm6580839', 'actor']","['nm0000370', 'director']"
tt0013741,"['History', 'Drama']",Das Weib des Pharao,1922-03-14,9.0,1,"['nm0360644', 'cinematographer']","['nm0417837', 'actor']","['nm0509573', 'actor']","['nm0081510', 'actor']","['nm0478151', 'actor']","['nm0523932', 'director']","['nm0266183', 'writer']","['nm0473134', 'writer']","['nm0478186', 'composer']","['nm0006252', 'composer']"
tt0014029,['Comedy'],The Extra Girl,1923-10-28,7.0,2,"['nm0635667', 'actress']","['nm0336339', 'actor']","['nm0629589', 'actor']","['nm0230188', 'actress']","['nm0428059', 'director']","['nm0566338', 'writer']","['nm0784407', 'writer']","['nm0188402', 'cinematographer']","['nm0779238', 'cinematographer']"
tt0014109,['Drama'],Gösta Berlings saga,1924-03-09,7.0,2,"['nm0361319', 'actor']","['nm0774563', 'actor']","['nm0147803', 'actress']","['nm0617527', 'actress']","['nm0830249', 'director']","['nm0405147', 'writer']","['nm0481248', 'writer']","['nm0042394', 'composer']","['nm0005748', 'cinematographer']"
tt0014341,"['Comedy', 'Drama', 'Family']",Our Hospitality,1923-11-19,7.7,49,"['nm0421157', 'cinematographer']","['nm0000036', 'actor']","['nm0848231', 'actress']","['nm0444172', 'actor']","['nm0731247', 'actor']","['nm0090007', 'director']","['nm0369841', 'writer']","['nm0115669', 'writer']","['nm0593477', 'writer']","['nm0002301', 'composer']"
tt0014358,['Comedy'],The Pilgrim,1923-02-26,7.3,18,"['nm0881022', 'actor']","['nm0000122', 'actor']","['nm0701012', 'actress']","['nm0152260', 'actor']","['nm0920323', 'actress']","['nm0718466', 'actor']","['nm0718469', 'actor']","['nm0615306', 'actor']","['nm0102901', 'actress']","['nm0841501', 'actor']"
tt0014417,['Drama'],La Roue,1923-02-17,7.0,8,"['nm0119704', 'cinematographer']","['nm0336414', 'actor']","['nm0536252', 'actor']","['nm0879412', 'actor']","['nm0786313', 'actor']","['nm0304098', 'director']","['nm0665572', 'producer']","['nm0006131', 'composer']","['nm0004592', 'composer']","['nm0115996', 'cinematographer']"
tt0014429,"['Comedy', 'Romance']",Safety Last!,1923-04-01,7.7,76,"['nm0369841', 'writer']","['nm0516001', 'actor']","['nm0205192', 'actress']","['nm0835128', 'actor']","['nm0949927', 'actor']","['nm0628345', 'director']","['nm0853130', 'director']","['nm0730018', 'writer']","['nm0924065', 'writer']","['nm0907778', 'writer']"
